factor_id,frequency,calendar_type,period,observations,active_annualized_mean,active_ir,relative_log_wealth,mean_rank_ic
XS001_MOM_255_0,monthly,calendar_year,2017,1,0.40204434018660073,,0.03186970647183359,0.2234987363382092
XS001_MOM_255_0,monthly,calendar_year,2018,12,-0.16052768591882005,-1.013073620478086,-0.17862771197517086,-0.02014663381759392
XS001_MOM_255_0,monthly,calendar_year,2019,12,0.019059044824253357,0.154233739534474,0.021521395886416037,-0.025042190769106642
XS001_MOM_255_0,monthly,calendar_year,2020,12,0.10023325592207144,0.7755775489418401,0.12102399632874125,-0.011999622053916595
XS001_MOM_255_0,monthly,calendar_year,2021,12,-0.18452511223823276,-1.4313901045946897,-0.18446168231182677,-0.06883988597732608
XS001_MOM_255_0,monthly,calendar_year,2022,12,0.2616247144590823,1.0805924833584393,0.2258054186227022,0.018412108021059564
XS001_MOM_255_0,monthly,calendar_year,2023,12,0.15805703033949814,2.030807923544841,0.1526523056912668,0.06137236222789592
XS001_MOM_255_0,monthly,calendar_year,2024,12,0.20652755872482464,1.1847944287123737,0.18539251733371287,0.057645959709546495
XS001_MOM_255_0,monthly,calendar_year,2025,12,0.11435520329267568,0.7903987043534934,0.10255886153412717,0.009920976786259013
XS001_MOM_255_0,monthly,calendar_year,2026,4,1.045463971596678,3.596462045310452,0.31482026733770213,0.13811775579651642
XS001_MOM_255_0,monthly,calendar_quarter,2017Q4,1,0.40204434018660073,,0.03186970647183359,0.2234987363382092
XS001_MOM_255_0,monthly,calendar_quarter,2018Q1,3,0.12287724873565686,1.208821038133686,0.03142964505048192,0.04042276055093407
XS001_MOM_255_0,monthly,calendar_quarter,2018Q2,3,-0.05297450320767627,-0.24086084559676071,-0.018162100158330398,-0.06604250610159974
XS001_MOM_255_0,monthly,calendar_quarter,2018Q3,3,-0.22965762597202888,-1.039430291146951,-0.07013423143399351,0.052793968105999727
XS001_MOM_255_0,monthly,calendar_quarter,2018Q4,3,-0.4823558632312319,-6.478571073134024,-0.12176102543332885,-0.10776075782570972
XS001_MOM_255_0,monthly,calendar_quarter,2019Q1,3,0.007428033287475433,0.06112883168029838,0.0012398191851791251,0.005732017846680898
XS001_MOM_255_0,monthly,calendar_quarter,2019Q2,3,0.07556641748110815,0.9495636379376698,0.021128453190655937,-0.003963956055821565
XS001_MOM_255_0,monthly,calendar_quarter,2019Q3,3,-0.04548563136668049,-0.18371158437265875,-0.010683962499460822,-0.05233588277564669
XS001_MOM_255_0,monthly,calendar_quarter,2019Q4,3,0.038727359895110336,1.5812283111279881,0.009837086010041797,-0.04960094209163918
